left_policy,right_policy,split,pair_index,seed,left_side,outcome,left_objective_completed,right_objective_completed,left_score,right_score,decisions,terminated,truncated,peer_tic_lag_max,protocol_inconsistent,action_tic_inconsistent,score_event_inconsistent,scenario_hash,environment_attempts,score_difference
m2-anchor,policy-0800000,validation,253,1200430541,opponent,draw,True,True,2,2,238,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-0800000,validation,254,1349791374,host,win,True,True,3,1,189,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
m2-anchor,policy-0800000,validation,254,1349791374,opponent,draw,True,True,2,2,245,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1000256,validation,250,1019181764,host,loss,True,True,2,3,236,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1000256,validation,250,1019181764,opponent,loss,False,True,0,2,113,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
m2-anchor,policy-1000256,validation,251,245721494,host,draw,True,True,2,2,266,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1000256,validation,251,245721494,opponent,loss,True,True,2,3,225,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1000256,validation,252,1891682600,host,win,True,True,3,2,399,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-1000256,validation,252,1891682600,opponent,loss,True,True,1,2,277,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1000256,validation,253,1200430541,host,draw,True,True,2,2,330,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1000256,validation,253,1200430541,opponent,draw,True,True,2,2,154,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1000256,validation,254,1349791374,host,draw,True,True,2,2,373,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1000256,validation,254,1349791374,opponent,draw,True,True,2,2,190,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1400000,validation,250,1019181764,host,win,True,False,2,0,102,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
m2-anchor,policy-1400000,validation,250,1019181764,opponent,loss,False,True,0,2,175,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
m2-anchor,policy-1400000,validation,251,245721494,host,win,True,True,3,2,323,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-1400000,validation,251,245721494,opponent,loss,True,True,2,3,333,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1400000,validation,252,1891682600,host,win,True,True,3,2,286,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-1400000,validation,252,1891682600,opponent,loss,True,True,2,3,314,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1400000,validation,253,1200430541,host,draw,True,True,2,2,223,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1400000,validation,253,1200430541,opponent,draw,True,True,2,2,229,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1400000,validation,254,1349791374,host,draw,True,True,2,2,247,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1400000,validation,254,1349791374,opponent,loss,True,True,1,3,221,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
m2-anchor,policy-1603584,validation,250,1019181764,host,win,True,False,2,0,102,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
m2-anchor,policy-1603584,validation,250,1019181764,opponent,loss,True,True,1,3,221,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
