policy,split,opponent,pair_index,seed,learner_side,outcome,objective_completed,learner_score,opponent_score,decisions,terminated,truncated,peer_tic_lag_max,protocol_inconsistent,scenario_hash,action_tic_inconsistent,score_event_inconsistent,environment_attempts,score_difference
ppo,test,random_legal,517,1360878927,host,win,True,2,0,105,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,517,1360878927,opponent,win,True,3,1,192,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,518,625746068,host,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,518,625746068,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,519,578192532,host,win,True,2,0,104,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,519,578192532,opponent,win,True,3,1,191,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,520,2093394307,host,win,True,3,0,247,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,520,2093394307,opponent,win,True,2,0,155,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,521,1106631803,host,win,True,2,0,247,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,521,1106631803,opponent,win,True,2,0,154,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,522,718019666,host,win,True,3,0,106,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,522,718019666,opponent,win,True,3,1,188,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,523,1842767218,host,win,True,3,0,97,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,523,1842767218,opponent,win,True,3,1,251,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,524,620323147,host,win,True,3,0,175,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,524,620323147,opponent,loss,True,1,2,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,-1
ppo,test,random_legal,525,1113575344,host,win,True,2,0,214,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,525,1113575344,opponent,win,True,2,0,169,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,526,382626568,host,win,True,2,0,102,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,526,382626568,opponent,win,True,2,1,226,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,527,1978095559,host,win,True,2,0,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,527,1978095559,opponent,draw,True,1,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,random_legal,528,1776413376,host,win,True,2,0,99,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,528,1776413376,opponent,win,True,2,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,529,1631354246,host,win,True,2,0,365,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,529,1631354246,opponent,win,True,2,0,156,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,530,876275796,host,win,True,3,0,217,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,530,876275796,opponent,win,True,2,0,247,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,531,18712640,host,win,True,2,0,207,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,531,18712640,opponent,win,True,3,0,166,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,532,797280130,host,win,True,2,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,532,797280130,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,533,1748594366,host,win,True,2,0,161,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,533,1748594366,opponent,win,True,2,0,224,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,534,936127561,host,win,True,2,0,161,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,534,936127561,opponent,win,True,3,0,162,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,535,1436993383,host,win,True,3,0,133,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,535,1436993383,opponent,win,True,3,1,156,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,536,1575302188,host,win,True,2,0,104,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,536,1575302188,opponent,win,True,2,1,189,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,537,1426932772,host,win,True,2,0,98,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,537,1426932772,opponent,win,True,3,1,253,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,538,895505262,host,win,True,3,0,99,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,538,895505262,opponent,win,True,3,1,267,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,539,330448701,host,win,True,3,0,150,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,539,330448701,opponent,win,True,3,0,227,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,540,2141132286,host,win,True,3,0,155,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,540,2141132286,opponent,win,True,2,0,163,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,541,1798903588,host,win,True,3,0,111,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
